id,name,artists
1,God's Plan,Drake
2,SAD!,XXXTENTACION
3,rockstar (feat. 21 Savage),Post Malone
4,Psycho (feat. Ty Dolla $ign),Post Malone
5,In My Feelings,Drake
6,Better Now,Post Malone
7,I Like It,Cardi B
8,One Kiss (with Dua Lipa),Calvin Harris
9,IDGAF,Dua Lipa
10,FRIENDS,Marshmello
11,Havana,Camila Cabello
12,Lucid Dreams,Juice WRLD
13,Nice For What,Drake
14,Girls Like You (feat. Cardi B),Maroon 5
15,The Middle,Zedd
16,All The Stars (with SZA),Kendrick Lamar
17,no tears left to cry,Ariana Grande
18,X,Nicky Jam
19,Moonlight,XXXTENTACION
20,Look Alive (feat. Drake),BlocBoy JB
21,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental
22,Te Bot? - Remix,Nio Garcia
23,Mine,Bazzi
24,Youngblood,5 Seconds of Summer
25,New Rules,Dua Lipa
26,Shape of You,Ed Sheeran
27,Love Lies (with Normani),Khalid
28,Meant to Be (feat. Florida Georgia Line),Bebe Rexha
29,Jocelyn Flores,XXXTENTACION
30,Perfect,Ed Sheeran
31,Taste (feat. Offset),Tyga
32,Solo (feat. Demi Lovato),Clean Bandit
33,I Fall Apart,Post Malone
34,Nevermind,Dennis Lloyd
35,?chame La Culpa,Luis Fonsi
36,Eastside (with Halsey & Khalid),benny blanco
37,Never Be the Same,Camila Cabello
38,Wolves,Selena Gomez
39,changes,XXXTENTACION
40,In My Mind,Dynoro
41,River (feat. Ed Sheeran),Eminem
42,Dura,Daddy Yankee
43,SICKO MODE,Travis Scott
44,Thunder,Imagine Dragons
45,Me Niego,Reik
46,Jackie Chan,Ti?sto
47,Finesse (Remix) [feat. Cardi B],Bruno Mars
48,Back To You - From 13 Reasons Why ? Season 2 Soundtrack,Selena Gomez
49,Let You Down,NF
50,Call Out My Name,The Weeknd
51,Ric Flair Drip (& Metro Boomin),Offset
52,Happier,Marshmello
53,Too Good At Goodbyes,Sam Smith
54,Freaky Friday (feat. Chris Brown),Lil Dicky
55,Believer,Imagine Dragons
56,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine
57,Rise,Jonas Blue
58,Body (feat. brando),Loud Luxury
59,XO TOUR Llif3,Lil Uzi Vert
60,Sin Pijama,Becky G
61,2002,Anne-Marie
62,Nonstop,Drake
63,Fuck Love (feat. Trippie Redd),XXXTENTACION
64,In My Blood,Shawn Mendes
65,Silence,Marshmello
66,God is a woman,Ariana Grande
67,D?jala que vuelva (feat. Manuel Turizo),Piso 21
68,Flames,David Guetta
69,What Lovers Do,Maroon 5
70,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
71,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
72,Feel It Still,Portugal. The Man
73,Pray For Me (with Kendrick Lamar),The Weeknd
74,Walk It Talk It,Migos
75,Him & I (with Halsey),G-Eazy
76,Candy Paint,Post Malone
77,Congratulations,Post Malone
78,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes
79,Criminal,Natti Natasha
80,Plug Walk,Rich The Kid
81,lovely (with Khalid),Billie Eilish
82,Stir Fry,Migos
83,HUMBLE.,Kendrick Lamar
84,Vaina Loca,Ozuna
85,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran
86,Coraz?n (feat. Nego do Borel),Maluma
87,Young Dumb & Broke,Khalid
88,S?guelo Bailando,Ozuna
89,Downtown,Anitta
90,Bella,Wolfine
91,Promises (with Sam Smith),Calvin Harris
92,Yes Indeed,Lil Baby
93,I Like Me Better,Lauv
94,This Is Me,Keala Settle
95,Everybody Dies In Their Nightmares,XXXTENTACION
96,Rewrite The Stars,Zac Efron
97,I Miss You (feat. Julia Michaels),Clean Bandit
98,No Brainer,DJ Khaled
99,Dusk Till Dawn - Radio Edit,ZAYN
100,Be Alright,Dean Lewis
